Area,TotalIncome,PercentTotalIncome,DependencyRank,Year,TotalTransferReceipts
Trumbull,7969263,28.3,23,2014,2066264
Tuscarawas,3789544,22.5,52,2014,780505
Union,2857612,11.9,85,2014,303991
Van Wert,1115620,23.3,45,2014,237792
Vinton,417579,34,6,2014,135668
Warren,13002293,11.7,86,2014,1350396
Washington,2422506,25.7,35,2014,566940
Wayne,4860917,19,65,2014,839844
Williams,1459748,23.3,46,2014,311966
Wood,5884310,16.4,78,2014,882583
Wyandot,922159,20.6,60,2014,174084
Ohio,544828473,19.6,NA,2015,101662556
Adams,922835,34.7,3,2015,306158
Allen,4223346,24.2,39,2015,977355
Ashland,1976587,23.1,49,2015,426276
Ashtabula,3616326,31.5,12,2015,1081610
Athens,2171713,25.1,36,2015,522300
Auglaize,2102659,17.6,73,2015,353437
Belmont,2697089,26.4,32,2015,677237
Brown,1540886,28.5,21,2015,419210
Butler,17089200,18,70,2015,2927768
Carroll,1012130,26.3,33,2015,252465
Champaign,1531282,22.9,51,2015,333091
Clark,5286633,27.9,26,2015,1413751
Clermont,10211356,16.4,77,2015,1577107
Clinton,1809742,21.4,58,2015,368109
Columbiana,3725395,29.6,16,2015,1048430
Coshocton,1215743,31,13,2015,357566
Crawford,1545112,29.5,17,2015,434887
Cuyahoga,65900676,19.5,63,2015,12303970
Darke,2049763,22.4,54,2015,439059
Defiance,1497610,24.1,40,2015,343235
Delaware,14298120,7.7,88,2015,1027317
Erie,4799998,16.3,79,2015,743283
Fairfield,6835934,17.8,72,2015,1152870
Fayette,1063978,28.3,24,2015,287950
Franklin,63885292,15.2,82,2015,9249728
Fulton,1824732,19.8,61,2015,341017
Gallia,1107944,34.1,5,2015,360522
Geauga,6218666,11.6,87,2015,681666
Greene,8016254,17,75,2015,1285796
Guernsey,1464224,30.6,14,2015,424155
Hamilton,46331959,15.8,81,2015,6978370
Hancock,3686496,16,80,2015,561444
Hardin,973805,27.2,29,2015,252807
Harrison,567594,29.2,20,2015,157311
Henry,1164319,21.8,56,2015,244986
Highland,1481317,29.9,15,2015,421451
Hocking,1037682,29.2,19,2015,288163
Holmes,1816913,12.2,84,2015,209678
Huron,2271069,24.1,41,2015,518668
Jackson,1127931,32.1,10,2015,344759
Jefferson,2445120,32.7,9,2015,764223
Knox,2489157,23.8,42,2015,561782
Lake,11205472,18.9,66,2015,1998756
Lawrence,2197026,33.5,7,2015,699851
Licking,7668562,18.7,68,2015,1356942
Logan,1831421,22.5,53,2015,391821
Lorain,13682064,20.8,59,2015,2689390
Lucas,19356004,23.1,47,2015,4263883
Madison,1761126,18.5,69,2015,309149
Mahoning,9583851,27.3,28,2015,2495234
Marion,2360095,28,25,2015,627994
Medina,9547886,14.1,83,2015,1263226
Meigs,760814,33.5,8,2015,242583
Mercer,1886263,16.8,76,2015,300392
Miami,4766277,19.3,64,2015,871742
Monroe,440198,35.2,1,2015,147331
Montgomery,23940327,22.2,55,2015,5068029
Morgan,467043,32.1,11,2015,142372
Morrow,1297481,23.5,44,2015,289442
Area,2017,NA,NA,2015,2015
Muskingum,3388936,26.8,30,2015,866791
Noble,368673,29.2,18,2015,101485
Ottawa,1984226,23.1,48,2015,433292
Paulding,709404,24.5,37,2015,165144
Perry,1293965,27.8,27,2015,342469
Pickaway,2259469,21.4,57,2015,460381
Pike,995146,34.5,4,2015,325904
Portage,6812948,19.5,62,2015,1267621
Preble,1577850,24.4,38,2015,365585
Putnam,1553860,17,74,2015,250152
Richland,4579612,26.7,31,2015,1165088
Ross,2719670,28.3,22,2015,734404
Sandusky,2343859,23.8,43,2015,533391
Scioto,2768826,35,2,2015,927619
Seneca,2111470,25.7,34,2015,519141
Shelby,2132648,18,71,2015,364421
Stark,16128640,22.9,50,2015,3514720
Summit,26611223,18.8,67,2015,4764112
Trumbull,7969263,28.3,23,2015,2144252
Tuscarawas,3789544,22.5,52,2015,811235
Union,2857612,11.9,85,2015,323539
Van Wert,1115620,23.3,45,2015,247259
Vinton,417579,34,6,2015,134891
Warren,13002293,11.7,86,2015,1427178
Washington,2422506,25.7,35,2015,589134
Wayne,4860917,19,65,2015,879724
Williams,1459748,23.3,46,2015,323273
Wood,5884310,16.4,78,2015,920375
Wyandot,922159,20.6,60,2015,180872
Ohio,544828473,19.6,NA,2016,104243797
Adams,922835,34.7,3,2016,313297
Allen,4223346,24.2,39,2016,998639
Ashland,1976587,23.1,49,2016,439359
Ashtabula,3616326,31.5,12,2016,1108937
Athens,2171713,25.1,36,2016,536420
Auglaize,2102659,17.6,73,2016,361271
Belmont,2697089,26.4,32,2016,693846
Brown,1540886,28.5,21,2016,428962
Butler,17089200,18,70,2016,3007215
Carroll,1012130,26.3,33,2016,259451
Champaign,1531282,22.9,51,2016,340273
Clark,5286633,27.9,26,2016,1439831
Clermont,10211356,16.4,77,2016,1629691
Clinton,1809742,21.4,58,2016,376797
Columbiana,3725395,29.6,16,2016,1074964
Coshocton,1215743,31,13,2016,367383
Crawford,1545112,29.5,17,2016,445717
Cuyahoga,65900676,19.5,63,2016,12562856
Darke,2049763,22.4,54,2016,446576
Defiance,1497610,24.1,40,2016,352269
Delaware,14298120,7.7,88,2016,1073033
Erie,4799998,16.3,79,2016,761326
Fairfield,6835934,17.8,72,2016,1182959
Fayette,1063978,28.3,24,2016,293526
Franklin,63885292,15.2,82,2016,9494506
Fulton,1824732,19.8,61,2016,351452
Gallia,1107944,34.1,5,2016,368695
Geauga,6218666,11.6,87,2016,705272
Greene,8016254,17,75,2016,1328243
Guernsey,1464224,30.6,14,2016,434560
Hamilton,46331959,15.8,81,2016,7150163
Hancock,3686496,16,80,2016,576472
Hardin,973805,27.2,29,2016,259030
Harrison,567594,29.2,20,2016,160956
Henry,1164319,21.8,56,2016,249020
Highland,1481317,29.9,15,2016,432843
Hocking,1037682,29.2,19,2016,294794
Holmes,1816913,12.2,84,2016,216145
Huron,2271069,24.1,41,2016,533611
Jackson,1127931,32.1,10,2016,353893
Jefferson,2445120,32.7,9,2016,776536
Knox,2489157,23.8,42,2016,577030
Lake,11205472,18.9,66,2016,2056746
Lawrence,2197026,33.5,7,2016,715962
Licking,7668562,18.7,68,2016,1395774
Logan,1831421,22.5,53,2016,402215
Lorain,13682064,20.8,59,2016,2778805
Lucas,19356004,23.1,47,2016,4367749
Madison,1761126,18.5,69,2016,318480
Mahoning,9583851,27.3,28,2016,2555323
Marion,2360095,28,25,2016,641979
Medina,9547886,14.1,83,2016,1311088
Meigs,760814,33.5,8,2016,248269
Mercer,1886263,16.8,76,2016,308267
Miami,4766277,19.3,64,2016,895295
Monroe,440198,35.2,1,2016,151597
Montgomery,23940327,22.2,55,2016,5178124
Morgan,467043,32.1,11,2016,146308
Morrow,1297481,23.5,44,2016,296603
Area,2017,NA,NA,2016,2016
Muskingum,3388936,26.8,30,2016,887035
Noble,368673,29.2,18,2016,104669
Ottawa,1984226,23.1,48,2016,446457
Paulding,709404,24.5,37,2016,169004
Perry,1293965,27.8,27,2016,349889
Pickaway,2259469,21.4,57,2016,471496
Pike,995146,34.5,4,2016,334280
Portage,6812948,19.5,62,2016,1301865
Preble,1577850,24.4,38,2016,374755
Putnam,1553860,17,74,2016,258280
Richland,4579612,26.7,31,2016,1194246
Ross,2719670,28.3,22,2016,751908
Sandusky,2343859,23.8,43,2016,545003
Scioto,2768826,35,2,2016,947389
Seneca,2111470,25.7,34,2016,530116
Shelby,2132648,18,71,2016,373441
Stark,16128640,22.9,50,2016,3597491
Summit,26611223,18.8,67,2016,4884349
Trumbull,7969263,28.3,23,2016,2191573
Tuscarawas,3789544,22.5,52,2016,832517
Union,2857612,11.9,85,2016,331413
Van Wert,1115620,23.3,45,2016,252724
Vinton,417579,34,6,2016,138720
Warren,13002293,11.7,86,2016,1481463
Washington,2422506,25.7,35,2016,605954
Wayne,4860917,19,65,2016,902274
Williams,1459748,23.3,46,2016,331260
Wood,5884310,16.4,78,2016,942665
Wyandot,922159,20.6,60,2016,185158
Ohio,544828473,19.6,NA,2017,106869302
Adams,922835,34.7,3,2017,320384
Allen,4223346,24.2,39,2017,1022799
Ashland,1976587,23.1,49,2017,456143
Ashtabula,3616326,31.5,12,2017,1137408
Athens,2171713,25.1,36,2017,545325
Auglaize,2102659,17.6,73,2017,370401
Belmont,2697089,26.4,32,2017,712463
Brown,1540886,28.5,21,2017,438978
Butler,17089200,18,70,2017,3079886
Carroll,1012130,26.3,33,2017,266263
Champaign,1531282,22.9,51,2017,349943
Clark,5286633,27.9,26,2017,1474244
Clermont,10211356,16.4,77,2017,1672444
Clinton,1809742,21.4,58,2017,386503
Columbiana,3725395,29.6,16,2017,1102223
Coshocton,1215743,31,13,2017,376848
Crawford,1545112,29.5,17,2017,456402
Cuyahoga,65900676,19.5,63,2017,12874529
Darke,2049763,22.4,54,2017,459131
Defiance,1497610,24.1,40,2017,361026
Delaware,14298120,7.7,88,2017,1103691
Erie,4799998,16.3,79,2017,781860
Fairfield,6835934,17.8,72,2017,1216715
Fayette,1063978,28.3,24,2017,300757
Franklin,63885292,15.2,82,2017,9724340
Fulton,1824732,19.8,61,2017,362037
Gallia,1107944,34.1,5,2017,378039
Geauga,6218666,11.6,87,2017,724013
Greene,8016254,17,75,2017,1363183
Guernsey,1464224,30.6,14,2017,447775
Hamilton,46331959,15.8,81,2017,7309286
Hancock,3686496,16,80,2017,589581
Hardin,973805,27.2,29,2017,265357
Harrison,567594,29.2,20,2017,165463
Henry,1164319,21.8,56,2017,253932
Highland,1481317,29.9,15,2017,443225
Hocking,1037682,29.2,19,2017,302592
Holmes,1816913,12.2,84,2017,221413
Huron,2271069,24.1,41,2017,546650
Jackson,1127931,32.1,10,2017,362542
Jefferson,2445120,32.7,9,2017,799806
Knox,2489157,23.8,42,2017,592710
Lake,11205472,18.9,66,2017,2112779
Lawrence,2197026,33.5,7,2017,735147
Licking,7668562,18.7,68,2017,1431167
Logan,1831421,22.5,53,2017,412568
Lorain,13682064,20.8,59,2017,2849584
Lucas,19356004,23.1,47,2017,4476707
Madison,1761126,18.5,69,2017,326682
Mahoning,9583851,27.3,28,2017,2618704
Marion,2360095,28,25,2017,660297
Medina,9547886,14.1,83,2017,1346836
Meigs,760814,33.5,8,2017,254567
Mercer,1886263,16.8,76,2017,316416
Miami,4766277,19.3,64,2017,920080
Monroe,440198,35.2,1,2017,154959
Montgomery,23940327,22.2,55,2017,5311166
Morgan,467043,32.1,11,2017,149800
Morrow,1297481,23.5,44,2017,304300
Area,2017,NA,NA,2017,2017
Muskingum,3388936,26.8,30,2017,909140
Noble,368673,29.2,18,2017,107565
Ottawa,1984226,23.1,48,2017,458829
Paulding,709404,24.5,37,2017,173676
Perry,1293965,27.8,27,2017,359592
Pickaway,2259469,21.4,57,2017,484401
Pike,995146,34.5,4,2017,343332
Portage,6812948,19.5,62,2017,1331219
Preble,1577850,24.4,38,2017,384577
Putnam,1553860,17,74,2017,264837
Richland,4579612,26.7,31,2017,1223779
Ross,2719670,28.3,22,2017,769866
Sandusky,2343859,23.8,43,2017,557411
Scioto,2768826,35,2,2017,968516
Seneca,2111470,25.7,34,2017,542050
Shelby,2132648,18,71,2017,383159
Stark,16128640,22.9,50,2017,3691777
Summit,26611223,18.8,67,2017,5002824
Trumbull,7969263,28.3,23,2017,2255678
Tuscarawas,3789544,22.5,52,2017,854253
Union,2857612,11.9,85,2017,340531
Van Wert,1115620,23.3,45,2017,259819
Vinton,417579,34,6,2017,141916
Warren,13002293,11.7,86,2017,1522802
Washington,2422506,25.7,35,2017,621470
Wayne,4860917,19,65,2017,924099
Williams,1459748,23.3,46,2017,339480
Wood,5884310,16.4,78,2017,962484
Wyandot,922159,20.6,60,2017,190151
