Area,TotalTransferReceipts2012,TotalTransferReceipts2013,TotalTransferReceipts2014,TotalTransferReceipts2015,TotalTransferReceipts2016,TotalTransferReceipts2017,TotalIncome,PercentTotalIncome,DependencyRank
Logan,"$347,539","$357,938","$376,090","$391,821","$402,215","$412,568","$1,831,421",22.5%,53
Lorain,"$2,363,998","$2,453,592","$2,568,704","$2,689,390","$2,778,805","$2,849,584","$13,682,064",20.8%,59
Lucas,"$3,837,038","$3,915,645","$4,118,747","$4,263,883","$4,367,749","$4,476,707","$19,356,004",23.1%,47
Madison,"$281,162","$285,720","$294,531","$309,149","$318,480","$326,682","$1,761,126",18.5%,69
Mahoning,"$2,272,250","$2,314,276","$2,424,193","$2,495,234","$2,555,323","$2,618,704","$9,583,851",27.3%,28
Marion,"$566,575","$574,505","$608,458","$627,994","$641,979","$660,297","$2,360,095",28.0%,25
Medina,"$1,090,594","$1,132,305","$1,198,253","$1,263,226","$1,311,088","$1,346,836","$9,547,886",14.1%,83
Meigs,"$219,637","$220,852","$232,302","$242,583","$248,269","$254,567","$760,814",33.5%,8
Mercer,"$270,566","$275,648","$289,946","$300,392","$308,267","$316,416","$1,886,263",16.8%,76
Miami,"$780,081","$798,735","$833,100","$871,742","$895,295","$920,080","$4,766,277",19.3%,64
Monroe,"$129,771","$133,263","$138,087","$147,331","$151,597","$154,959","$440,198",35.2%,1
Montgomery,"$4,625,913","$4,687,819","$4,880,873","$5,068,029","$5,178,124","$5,311,166","$23,940,327",22.2%,55
Morgan,"$125,548","$128,460","$143,184","$142,372","$146,308","$149,800","$467,043",32.1%,11
Morrow,"$253,026","$260,647","$277,758","$289,442","$296,603","$304,300","$1,297,481",23.5%,44
Area,2012,2013,2014,2015,2016,2017^,Income (TPI)^ of 2017 TPI,,Rank*
Muskingum,"$776,691","$798,249","$837,896","$866,791","$887,035","$909,140","$3,388,936",26.8%,30
Noble,"$95,069","$94,846","$96,957","$101,485","$104,669","$107,565","$368,673",29.2%,18
Ottawa,"$388,532","$394,770","$414,370","$433,292","$446,457","$458,829","$1,984,226",23.1%,48
Paulding,"$146,689","$149,023","$159,721","$165,144","$169,004","$173,676","$709,404",24.5%,37
Perry,"$301,536","$309,162","$327,277","$342,469","$349,889","$359,592","$1,293,965",27.8%,27
Pickaway,"$414,099","$421,364","$436,695","$460,381","$471,496","$484,401","$2,259,469",21.4%,57
Pike,"$300,610","$299,460","$310,699","$325,904","$334,280","$343,332","$995,146",34.5%,4
Portage,"$1,150,026","$1,165,748","$1,220,257","$1,267,621","$1,301,865","$1,331,219","$6,812,948",19.5%,62
Preble,"$333,238","$340,283","$355,372","$365,585","$374,755","$384,577","$1,577,850",24.4%,38
Putnam,"$220,729","$228,137","$238,862","$250,152","$258,280","$264,837","$1,553,860",17.0%,74
Richland,"$1,059,456","$1,069,616","$1,124,404","$1,165,088","$1,194,246","$1,223,779","$4,579,612",26.7%,31
Ross,"$656,006","$664,032","$700,112","$734,404","$751,908","$769,866","$2,719,670",28.3%,22
Sandusky,"$485,439","$496,769","$517,052","$533,391","$545,003","$557,411","$2,343,859",23.8%,43
Scioto,"$832,274","$847,501","$900,404","$927,619","$947,389","$968,516","$2,768,826",35.0%,2
Seneca,"$473,971","$482,885","$497,955","$519,141","$530,116","$542,050","$2,111,470",25.7%,34
Shelby,"$328,461","$328,011","$349,476","$364,421","$373,441","$383,159","$2,132,648",18.0%,71
Stark,"$3,195,546","$3,306,108","$3,387,120","$3,514,720","$3,597,491","$3,691,777","$16,128,640",22.9%,50
Summit,"$4,308,815","$4,394,464","$4,581,881","$4,764,112","$4,884,349","$5,002,824","$26,611,223",18.8%,67
Trumbull,"$1,951,023","$1,981,567","$2,066,264","$2,144,252","$2,191,573","$2,255,678","$7,969,263",28.3%,23
Tuscarawas,"$736,048","$754,698","$780,505","$811,235","$832,517","$854,253","$3,789,544",22.5%,52
Union,"$283,048","$286,765","$303,991","$323,539","$331,413","$340,531","$2,857,612",11.9%,85
Van Wert,"$226,889","$228,529","$237,792","$247,259","$252,724","$259,819","$1,115,620",23.3%,45
Vinton,"$121,278","$123,932","$135,668","$134,891","$138,720","$141,916","$417,579",34.0%,6
Warren,"$1,225,737","$1,277,835","$1,350,396","$1,427,178","$1,481,463","$1,522,802","$13,002,293",11.7%,86
Washington,"$534,127","$538,707","$566,940","$589,134","$605,954","$621,470","$2,422,506",25.7%,35
Wayne,"$781,092","$796,573","$839,844","$879,724","$902,274","$924,099","$4,860,917",19.0%,65
Williams,"$296,825","$301,130","$311,966","$323,273","$331,260","$339,480","$1,459,748",23.3%,46
Wood,"$837,208","$849,631","$882,583","$920,375","$942,665","$962,484","$5,884,310",16.4%,78
Wyandot,"$165,384","$169,352","$174,084","$180,872","$185,158","$190,151","$922,159",20.6%,60
