County,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Total2012to2017,CrudeRate,AgeAdjustedRate
Huron,5,5,6,5,8,4,8,8,14,17,10,16,27,92,26.2,28.4
Lucas,49,44,75,73,49,54,57,88,72,115,118,157,153,703,27,28.4
Ohio total,1020,1261,1351,1473,1423,1544,1772,1914,2110,2531,3050,4050,4854,18509,26.6,27.9
Miami,11,8,10,20,15,14,12,16,12,19,17,39,41,144,23.1,26.1
Champaign,0,4,1,4,1,7,6,6,4,11,6,10,17,54,23,25.8
Greene,19,21,16,31,21,27,23,23,21,40,43,44,63,234,23.7,25.5
Shelby,2,3,7,12,8,5,8,5,9,7,8,15,21,65,22.1,25.4
Guernsey,2,0,3,2,4,12,3,3,7,9,9,13,10,51,21.5,24.4
Sandusky,1,7,8,9,2,4,11,4,5,13,12,22,23,79,22.1,24.1
Belmont,6,5,3,8,8,5,5,10,8,14,18,20,18,88,21.2,23.4
Crawford,10,9,12,10,7,7,5,5,2,9,10,8,17,51,20.1,23.4
Madison,1,2,5,4,5,10,3,7,7,7,7,15,20,63,24.1,23.1
Highland,6,4,4,4,5,6,7,3,8,12,9,6,13,51,19.8,22.7
Allen,4,6,6,9,5,5,9,14,15,12,18,31,39,129,20.6,22.4
Logan,3,6,6,5,5,6,0,5,9,4,8,14,15,55,20.2,22.3
Warren,21,17,17,33,34,25,26,32,27,40,42,58,81,280,20.9,22.2
Meigs,2,5,3,1,2,3,5,2,4,4,3,9,4,26,18.6,21.9
Washington,5,9,4,5,8,4,6,7,7,12,8,20,14,68,18.6,21.8
Vinton,4,3,4,2,2,1,1,5,2,3,1,2,2,15,19,21.6
Portage,7,12,8,5,16,14,6,16,22,30,36,46,39,189,19.4,21.2
Geauga,3,5,2,5,2,7,11,8,11,11,15,24,25,94,16.7,21.1
Franklin,102,154,187,179,139,192,209,191,196,196,279,314,431,1607,21.5,20.8
Morrow,3,5,2,2,5,8,5,2,9,6,3,6,11,37,17.7,20.5
Hardin,2,10,6,6,3,6,6,1,10,1,8,7,9,36,19,20.4
Hocking,1,1,9,8,4,4,7,4,8,4,3,5,8,32,18.6,20.1
Hancock,3,1,2,4,8,7,10,5,4,11,13,19,32,84,18.5,19.5
Seneca,3,3,2,1,7,0,8,6,7,11,9,5,19,57,17.1,18.9
Stark,16,25,25,30,21,39,40,35,42,59,59,97,91,383,17.1,18.9
Pickaway,3,5,5,5,9,9,14,12,10,8,10,6,17,63,18.4,18.8
Harrison,0,0,1,0,1,1,4,0,3,2,4,1,5,15,16.2,18.6
Van wert,1,4,1,4,1,3,6,1,4,4,1,8,8,26,15.3,18.4
Morgan,1,1,1,0,3,1,1,0,4,4,0,4,2,14,15.8,18
Carroll,2,2,1,3,2,3,0,4,2,3,5,3,6,23,13.7,17.2
Medina,8,7,8,9,13,7,13,17,14,17,27,41,42,158,15,17.1
Knox,3,4,5,7,10,7,9,7,12,8,7,8,15,57,15.6,17
Ottawa,2,2,5,2,6,2,4,3,4,3,5,14,7,36,14.7,16.7
Fulton,1,1,2,1,2,6,5,9,3,5,6,10,3,36,14.2,16.6
Wayne,6,7,0,11,7,6,13,7,4,13,24,36,20,104,15,16.3
Athens,7,9,13,8,10,6,12,10,8,8,8,6,6,46,11.7,16.1
Fairfield,8,7,13,7,17,15,12,19,17,15,16,23,43,133,14.7,15.8
Defiance,2,1,5,1,2,3,5,3,5,7,7,6,3,31,13.5,15.2
Perry,2,2,4,3,2,4,4,7,0,4,7,6,6,30,13.9,15.1
Licking,10,13,15,27,20,24,22,13,23,23,29,18,41,147,14.4,14.9
Muskingum,1,6,4,5,4,5,2,7,10,5,13,7,21,63,12.2,13.4
Tuscarawas,3,8,1,3,4,7,13,8,11,6,8,14,22,69,12.4,13.2
Wood,4,10,5,9,14,9,7,10,4,16,22,21,17,90,11.6,12.7
Henry,3,1,0,0,0,1,0,2,1,2,6,5,3,19,11.5,12.3
Mercer,1,2,3,1,2,2,4,1,5,5,3,5,7,26,10.6,12
Coshocton,5,2,2,4,1,2,4,3,4,2,3,4,6,22,10,11.6
Williams,1,1,1,2,2,3,1,1,5,2,1,9,4,22,9.9,11.4
Auglaize,2,1,2,3,3,3,3,5,3,2,9,4,6,29,10.6,11
Union,4,5,1,6,4,10,3,3,3,6,5,7,10,34,10.4,10.4
Putnam,0,1,1,2,2,1,0,1,2,3,4,4,3,17,8.3,9.2
Wyandot,0,1,1,1,1,2,2,1,1,0,2,4,3,11,8.2,8.9
Delaware,5,7,13,11,12,12,10,16,15,12,12,11,28,94,8.2,8.8
Ashland,3,4,1,1,1,2,4,0,1,3,6,3,3,16,5,5.7
Holmes,0,0,1,0,0,1,1,0,1,0,0,4,2,7,NA,NA
Monroe,0,1,0,0,2,0,0,1,0,4,1,1,2,9,NA,NA
Noble,0,1,2,2,1,1,0,0,1,0,5,1,1,8,NA,NA
Paulding,2,1,0,3,2,2,0,2,0,3,0,0,3,8,NA,NA
